packet_count,bytes_total,packet_size_mean,packet_size_std,iat_mean,iat_std,dup_payload_ratio,write_ratio,unique_write_regs,label
8,509,63.625,5.786568499551353,0.01950086866106306,0.019061909456187645,0.25,0.25,1,normal
1,66,66.0,0.0,0.0,0.0,0.0,0.0,0,normal
2,125,62.5,8.5,0.04764890670776367,0.0,0.0,0.0,0,normal
1,66,66.0,0.0,0.0,0.0,0.0,0.0,0,normal
2,125,62.5,8.5,0.05405092239379883,0.0,0.0,0.0,0,normal
2,137,68.5,2.5,0.0077190399169921875,0.0,0.0,0.0,0,normal
1,54,54.0,0.0,0.0,0.0,0.0,0.0,0,normal
3,191,63.666666666666664,7.1336448530109,0.040976524353027344,0.004302501678466797,0.0,0.0,0,normal
3,191,63.666666666666664,7.1336448530109,0.07507503032684326,0.026826977729797363,0.0,0.0,0,normal
3,191,63.666666666666664,7.1336448530109,0.0911780595779419,0.03894388675689697,0.0,0.0,0,normal
3,191,63.666666666666664,7.1336448530109,0.03326559066772461,0.02181839942932129,0.0,0.0,0,normal
1,66,66.0,0.0,0.0,0.0,0.0,0.0,0,normal
2,125,62.5,8.5,0.0448000431060791,0.0,0.0,0.0,0,normal
1,66,66.0,0.0,0.0,0.0,0.0,0.0,0,normal
3,203,67.66666666666667,2.357022603955158,0.005415081977844238,0.004985928535461426,0.33333333333333337,0.6666666666666666,1,normal
1,54,54.0,0.0,0.0,0.0,0.0,0.0,0,normal
2,137,68.5,2.5,0.08570694923400879,0.0,0.0,0.0,0,normal
1,54,54.0,0.0,0.0,0.0,0.0,0.0,0,normal
2,137,68.5,2.5,0.10941815376281738,0.0,0.0,0.0,0,normal
1,54,54.0,0.0,0.0,0.0,0.0,0.0,0,normal
1,66,66.0,0.0,0.0,0.0,0.0,0.0,0,normal
2,125,62.5,8.5,0.05218315124511719,0.0,0.0,0.0,0,normal
1,66,66.0,0.0,0.0,0.0,0.0,0.0,0,normal
4,257,64.25,6.2599920127744575,0.016650279362996418,0.017271446955705563,0.33333333333333337,0.5,1,normal
1,66,66.0,0.0,0.0,0.0,0.0,0.0,0,normal
2,125,62.5,8.5,0.050833940505981445,0.0,0.0,0.0,0,normal
1,66,66.0,0.0,0.0,0.0,0.0,0.0,0,normal
2,125,62.5,8.5,0.04660987854003906,0.0,0.0,0.0,0,normal
1,66,66.0,0.0,0.0,0.0,0.0,0.0,0,normal
2,125,62.5,8.5,0.04085397720336914,0.0,0.0,0.0,0,normal
2,137,68.5,2.5,0.01953601837158203,0.0,0.0,0.0,0,normal
1,54,54.0,0.0,0.0,0.0,0.0,0.0,0,normal
2,137,68.5,2.5,0.09977602958679199,0.0,0.0,0.0,0,normal
1,54,54.0,0.0,0.0,0.0,0.0,0.0,0,normal
1,66,66.0,0.0,0.0,0.0,0.0,0.0,0,normal
